method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,-1.5151515151515298,1.5151515151515298,50,50,1.0,50,2.4512319297902634,1.3784169017984214,-0.8399808981387062,0.9030910693480652,0.9696691176470589,0.0,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,1.5151515151515014,1.5151515151515014,50,50,1.0,50,2.4512319297902634,1.6178840548693145,-0.8399808981387062,1.2460977341623005,0.9696691176470589,0.0,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,4.5454545454545325,4.5454545454545325,50,50,1.0,50,2.4512319297902634,1.573515133090165,-0.8399808981387062,0.907171238830873,0.9708614864864865,0.3333333333333333,0.6666666666666666
MolecuLA raw OLS (seed-excluded),FractionCSP3,7.575757575757564,7.575757575757564,50,50,1.0,50,2.4512319297902634,1.573515133090165,-0.8399808981387062,0.907171238830873,0.9708614864864865,0.3333333333333333,0.6666666666666666
MolecuLA raw OLS (seed-excluded),FractionCSP3,10.606060606060597,10.606060606060597,50,50,1.0,50,2.4512319297902634,1.573515133090165,-0.8399808981387062,0.907171238830873,0.9708614864864865,0.3333333333333333,0.6666666666666666
MolecuLA raw OLS (seed-excluded),FractionCSP3,13.636363636363626,13.636363636363626,50,50,1.0,50,2.4890790370695814,0.39757887323943564,-0.8399808981387062,0.5118767477402636,0.9677083333333334,0.14285714285714285,0.7142857142857143
MolecuLA raw OLS (seed-excluded),FractionCSP3,16.666666666666657,16.666666666666657,50,50,1.0,50,2.5967537996466152,0.9332465220228361,-0.6081236832792594,0.7794910863517943,0.9590301003344481,0.0,0.9166666666666666
MolecuLA raw OLS (seed-excluded),FractionCSP3,19.69696969696969,19.69696969696969,50,50,1.0,50,2.7626692324557576,1.168356592046118,-0.48442954852735315,0.7697490987977612,0.9555335968379447,0.0,0.9523809523809523
MolecuLA raw OLS (seed-excluded),FractionCSP3,22.72727272727272,22.72727272727272,50,50,1.0,50,3.297533918037515,1.3209408064786166,-0.24460993983303664,0.8480188359645286,0.9171428571428571,0.0,0.9666666666666667
MolecuLA raw OLS (seed-excluded),FractionCSP3,25.75757575757575,25.75757575757575,50,50,1.0,50,3.75515319787476,1.4480596586905357,0.03928887985967268,0.8969951374528462,0.8687960687960687,0.0,0.9230769230769231
