method,property,objective,seed_similarity_cutoff,quality_rule,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_delta_sa,median_selected_delta_np,median_selected_np_confidence,selected_scaffold_retention
ChemSpacE extreme-SVM,BertzCT,maximize,0.0,sa_nonworsening,50,9,0.18,238.29412160182892,0.0555555555555555,-0.7248516091931538,1.2505031195949816,1.0,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.0,sa_nonworsening,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,BertzCT,maximize,0.2,sa_nonworsening,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.2,sa_nonworsening,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,BertzCT,maximize,0.4,sa_nonworsening,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.4,sa_nonworsening,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,BertzCT,maximize,0.6,sa_nonworsening,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.6,sa_nonworsening,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.0,sa_nonworsening,50,15,0.3,0.666048237476809,0.0425531914893617,-0.328557508399113,1.0545650129288195,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.0,sa_nonworsening,50,7,0.14,0.5142857142857143,0.0769230769230769,-0.24912089696029938,0.4831546011519823,1.0,0.16666666666666666
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.2,sa_nonworsening,50,1,0.02,0.0281385281385282,0.5647058823529412,-0.025774429242106933,-0.106231384903271,0.9852941176470589,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.2,sa_nonworsening,50,3,0.06,0.0281385281385282,0.5647058823529412,-0.025774429242106933,-0.106231384903271,0.9852941176470589,0.3333333333333333
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.4,sa_nonworsening,50,1,0.02,0.0281385281385282,0.5647058823529412,-0.025774429242106933,-0.106231384903271,0.9852941176470589,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.4,sa_nonworsening,50,2,0.04,0.014069264069264103,0.706881243063263,-0.02403441741825585,-0.07040394388150073,0.9926470588235294,0.5
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.6,sa_nonworsening,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.6,sa_nonworsening,50,1,0.02,6.938893903907228e-18,0.8490566037735849,-0.022294405594404765,-0.03457650285973046,1.0,1.0
ChemSpacE extreme-SVM,HBA,maximize,0.0,sa_nonworsening,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.0,sa_nonworsening,50,2,0.04,8.5,0.1714219972388403,-0.49943121409630287,0.05666410464798305,0.8118279569892473,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.2,sa_nonworsening,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.2,sa_nonworsening,50,1,0.02,1.0,0.2452830188679245,-0.24824114724828306,-0.7537793699192402,1.0,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.4,sa_nonworsening,50,0,0.0,,,,,,
