method,property,seed_id,requested_candidates,valid_candidates,distinct_canonical_structures,median_sa_score,median_np_likeness,median_np_fragment_confidence,valid_changed_candidates,median_delta_sa_vs_seed,median_delta_np_vs_seed,median_delta_np_confidence_vs_seed,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed,sa_and_np_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),BertzCT,12,100,100,56,2.9462674942958422,0.05892521708516704,0.75,91,0.7232254248804946,1.6852005816740514,-0.23039215686274506,0.3076923076923077,0.967032967032967,0.27472527472527475
MolecuLA raw OLS (seed-excluded),BertzCT,13,100,100,39,4.94088224157292,0.6577850905405864,0.7052139037433156,81,3.436457771518956,-0.1681178805594168,-0.2898550724637682,0.07407407407407407,0.345679012345679,0.037037037037037035
MolecuLA raw OLS (seed-excluded),BertzCT,14,100,100,53,6.267791799955088,0.0,0.6868524733693273,91,4.074950046030691,1.3537433496332218,-0.30197628458498027,0.08791208791208792,0.9120879120879121,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,15,100,100,30,2.773788502914991,0.13569885768030004,0.7573529411764706,83,0.7014269461007814,0.7868517012035373,-0.21447368421052637,0.40963855421686746,0.9156626506024096,0.40963855421686746
MolecuLA raw OLS (seed-excluded),BertzCT,16,100,100,48,3.745306270867962,0.0251286675201,0.6718924972004479,89,3.010786043939543,1.5383124000443968,-0.4067796610169492,0.16853932584269662,1.0,0.16853932584269662
MolecuLA raw OLS (seed-excluded),BertzCT,17,100,100,66,5.520942472652559,0.12075815680547264,0.639984631147541,95,2.6483272002086267,1.4592583209332246,-0.27360459050599895,0.21052631578947367,1.0,0.21052631578947367
MolecuLA raw OLS (seed-excluded),BertzCT,18,100,100,56,6.113304451152549,0.2999210966457474,0.6666666666666666,94,4.112442991386359,1.8701712145811666,-0.31896530110815824,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,19,100,100,59,4.756165473172063,0.0251286675201,0.7205882352941176,92,2.3793946992787975,3.0170955864188604,-0.2802767682415432,0.11956521739130435,1.0,0.11956521739130435
MolecuLA raw OLS (seed-excluded),BertzCT,20,100,100,51,4.074769230577246,0.1897165875277,0.7769485903814262,89,1.5400679904207788,1.4818197335096543,-0.203125,0.23595505617977527,1.0,0.23595505617977527
MolecuLA raw OLS (seed-excluded),BertzCT,21,100,100,59,4.171541047411018,0.6005671435596086,0.7838235294117647,92,2.0923026715721993,0.3715580660034975,-0.18387047734873824,0.17391304347826086,0.8260869565217391,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,22,100,100,57,4.118959067272179,0.6715596879232999,0.8474903474903475,90,1.5119291109236137,1.018357919992263,-0.1783367139959432,0.35555555555555557,0.9666666666666667,0.32222222222222224
MolecuLA raw OLS (seed-excluded),BertzCT,23,100,100,52,3.5393108885504576,0.5669632971755565,0.7582051282051282,87,1.9773605430019368,0.3962418744853909,-0.25,0.11494252873563218,0.8850574712643678,0.0
