scale,property,seed_id,alpha,is_rdkit_valid_ols,changed_from_seed_ols,property_delta_ols,expected_signed_improvement_ols,seed_similarity_tanimoto_ols,scaffold_evaluable_ols,scaffold_retained_ols,sa_score_delta_ols,np_likeness_delta_ols,selfies_len_tokens_ols,is_rdkit_valid_chemspace,changed_from_seed_chemspace,property_delta_chemspace,expected_signed_improvement_chemspace,seed_similarity_tanimoto_chemspace,scaffold_evaluable_chemspace,scaffold_retained_chemspace,sa_score_delta_chemspace,np_likeness_delta_chemspace,selfies_len_tokens_chemspace,alpha_sign,absolute_latent_displacement,improvement_difference_chemspace_minus_ols,sa_delta_difference_chemspace_minus_ols,similarity_difference_chemspace_minus_ols
native_l2,FractionCSP3,2,-30.0,True,True,-0.1428571428571428,0.1428571428571428,0.1276595744680851,True,False,2.126120640209531,2.302879658656307,22.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.371631330739204,1.8034294953733263,154.0,negative,30.0,0.1428571428571429,3.245510690529673,-0.1276595744680851
native_l2,FractionCSP3,2,-15.0,True,False,0.0,-0.0,1.0,True,True,0.0,0.0,13.0,True,True,-0.219047619047619,0.219047619047619,0.0714285714285714,True,False,4.016662414412223,2.544364282294178,30.0,negative,15.0,0.219047619047619,4.016662414412223,-0.9285714285714286
native_l2,FractionCSP3,2,0.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,13.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,13.0,zero,0.0,0.0,0.0,0.0
native_l2,FractionCSP3,2,15.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,13.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,-1.3964545076714163,1.8135331710862128,25.0,positive,15.0,0.7142857142857143,-1.3964545076714163,-0.925925925925926
native_l2,FractionCSP3,2,30.0,True,True,0.3392857142857143,0.3392857142857143,0.1282051282051282,True,False,1.942717840150128,2.4888576312145445,13.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,30.0,0.375,0.31589916545244834,-0.05413105413105419
native_l2,FractionCSP3,2,45.0,True,True,0.3392857142857143,0.3392857142857143,0.1621621621621621,True,False,2.4765248142272247,2.959228499032767,13.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,45.0,0.375,-0.21790780862464842,-0.08808808808808809
native_l2,FractionCSP3,2,60.0,True,True,0.7142857142857143,0.7142857142857143,0.054054054054054,True,False,0.7454907670837754,1.9441704291728343,14.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,60.0,0.0,1.513126238518801,0.02002002002002
native_l2,FractionCSP3,2,75.0,True,True,0.7142857142857143,0.7142857142857143,0.05,True,False,0.8275961606686248,1.6894900842238174,15.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,75.0,0.0,1.4310208449339514,0.024074074074073998
native_l2,FractionCSP3,2,90.0,True,True,0.4920634920634921,0.4920634920634921,0.0555555555555555,False,,-0.2185539230769215,3.521256127159334,13.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,90.0,0.2222222222222222,2.477170928679498,0.018518518518518504
native_l2,FractionCSP3,2,105.0,True,True,0.7142857142857143,0.7142857142857143,0.0444444444444444,True,False,0.6974081400205732,2.5547305249513887,29.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,105.0,0.0,1.5612088655820031,0.029629629629629603
native_l2,FractionCSP3,2,120.0,True,True,0.7142857142857143,0.7142857142857143,0.0434782608695652,True,False,0.7382858242618333,2.5619168018891854,31.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,120.0,0.0,1.520331181340743,0.0305958132045088
native_l2,FractionCSP3,2,135.0,True,True,0.7142857142857143,0.7142857142857143,0.0526315789473684,True,False,3.494112528932288,1.80566322244079,154.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,135.0,0.0,-1.2354955233297118,0.021442495126705603
native_l2,FractionCSP3,2,150.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,True,True,0.7142857142857143,0.7142857142857143,0.074074074074074,False,,2.2586170056025763,1.731671158221899,154.0,positive,150.0,0.0,0.0,0.0
native_l2,FractionCSP3,3,-150.0,True,True,-0.3574660633484163,0.3574660633484163,0.0786516853932584,True,False,1.7328594667082609,0.4679491382547979,61.0,True,True,-0.5882352941176471,0.5882352941176471,0.0319148936170212,False,,5.274781598663284,-0.0817933429945887,154.0,negative,150.0,0.23076923076923078,3.5419221319550234,-0.0467367917762372
native_l2,FractionCSP3,3,-135.0,True,True,-0.5882352941176471,0.5882352941176471,0.0581395348837209,False,,1.8410766908182232,0.6666744399558742,59.0,True,True,-0.5882352941176471,0.5882352941176471,0.024390243902439,False,,4.855551619802411,-0.0506607497160043,154.0,negative,135.0,0.0,3.014474928984188,-0.033749290981281904
native_l2,FractionCSP3,3,-120.0,True,True,-0.4007352941176471,0.4007352941176471,0.0842105263157894,True,False,2.2652701304826524,1.0887357982518415,55.0,True,True,-0.5882352941176471,0.5882352941176471,0.0428571428571428,False,,4.598710977813945,-0.0367062678340433,154.0,negative,120.0,0.1875,2.3334408473312926,-0.0413533834586466
native_l2,FractionCSP3,3,-105.0,True,True,-0.388235294117647,0.388235294117647,0.0612244897959183,True,False,2.6254704108543416,1.1845234892028422,53.0,True,True,-0.5882352941176471,0.5882352941176471,0.0158730158730158,False,,4.297763987422776,-0.040004107458816,154.0,negative,105.0,0.20000000000000007,1.6722935765684346,-0.045351473922902494
native_l2,FractionCSP3,3,-90.0,True,True,-0.4705882352941176,0.4705882352941176,0.0927835051546391,False,,2.342616892173675,0.5068143804795389,50.0,True,True,-0.5882352941176471,0.5882352941176471,0.0166666666666666,False,,4.132376525316277,-0.0251361456717348,154.0,negative,90.0,0.1176470588235295,1.7897596331426024,-0.07611683848797249
native_l2,FractionCSP3,3,-75.0,True,True,-0.4007352941176471,0.4007352941176471,0.053763440860215,True,False,1.300870736336754,1.198818855745774,46.0,True,True,-0.5882352941176471,0.5882352941176471,0.0166666666666666,False,,4.132376525316277,-0.0251361456717348,154.0,negative,75.0,0.1875,2.8315057889795234,-0.0370967741935484
