scale,property,seed_id,alpha_sign,similarity_rank,ols_alpha,chemspace_alpha,ols_seed_similarity,chemspace_seed_similarity,absolute_similarity_gap,ols_expected_improvement,chemspace_expected_improvement
native_l2,FractionCSP3,6,positive,0,15.0,15.0,0.308411214953271,0.10810810810810811,0.2003031068451629,0.09999999999999998,0.5354838709677419
native_l2,FractionCSP3,6,positive,1,30.0,150.0,0.1322314049586777,0.02666666666666667,0.10556473829201102,0.3222222222222222,0.6
native_l2,FractionCSP3,6,positive,2,45.0,135.0,0.1271186440677966,0.02666666666666667,0.10045197740112993,0.475,0.6
native_l2,FractionCSP3,6,positive,3,60.0,120.0,0.11666666666666667,0.02666666666666667,0.09,0.6,0.6
native_l2,FractionCSP3,6,positive,4,105.0,105.0,0.09917355371900827,0.02666666666666667,0.0725068870523416,0.5696969696969697,0.6
native_l2,FractionCSP3,6,positive,5,135.0,90.0,0.09345794392523364,0.02666666666666667,0.06679127725856697,0.5772727272727273,0.6
native_l2,FractionCSP3,6,positive,6,75.0,75.0,0.09090909090909091,0.02666666666666667,0.06424242424242424,0.6,0.6
native_l2,FractionCSP3,6,positive,7,90.0,60.0,0.08870967741935484,0.02666666666666667,0.06204301075268817,0.5655172413793104,0.6
native_l2,FractionCSP3,6,positive,8,120.0,45.0,0.07142857142857142,0.02666666666666667,0.04476190476190475,0.5142857142857142,0.6
native_l2,FractionCSP3,6,positive,9,150.0,30.0,0.045454545454545456,0.02666666666666667,0.018787878787878787,0.5931506849315068,0.6
native_l2,FractionCSP3,7,negative,0,-15.0,-15.0,1.0,0.06451612903225806,0.935483870967742,-5.551115123125783e-17,0.1428571428571428
native_l2,FractionCSP3,7,negative,1,-30.0,-120.0,0.38636363636363635,0.05,0.33636363636363636,-0.05714285714285722,0.1428571428571428
native_l2,FractionCSP3,7,negative,2,-60.0,-105.0,0.13114754098360656,0.05,0.08114754098360656,-0.07936507936507942,0.1428571428571428
native_l2,FractionCSP3,7,negative,3,-75.0,-135.0,0.11320754716981132,0.03773584905660377,0.07547169811320756,-0.05714285714285722,0.1428571428571428
native_l2,FractionCSP3,7,negative,4,-45.0,-150.0,0.11290322580645161,0.028985507246376812,0.0839177185600748,-0.07142857142857148,0.1428571428571428
native_l2,FractionCSP3,7,negative,5,-150.0,-90.0,0.08928571428571429,0.02631578947368421,0.06296992481203008,0.1428571428571428,0.1428571428571428
native_l2,FractionCSP3,7,negative,6,-90.0,-75.0,0.08196721311475409,0.02631578947368421,0.05565142364106988,0.07619047619047613,0.1428571428571428
native_l2,FractionCSP3,7,negative,7,-120.0,-60.0,0.06,0.02631578947368421,0.03368421052631579,0.1428571428571428,0.1428571428571428
native_l2,FractionCSP3,7,negative,8,-135.0,-45.0,0.057692307692307696,0.02631578947368421,0.031376518218623486,-5.551115123125783e-17,0.1428571428571428
native_l2,FractionCSP3,7,negative,9,-105.0,-30.0,0.017543859649122806,0.02631578947368421,0.008771929824561403,0.05194805194805188,0.1428571428571428
native_l2,FractionCSP3,7,positive,0,15.0,15.0,1.0,0.03571428571428571,0.9642857142857143,5.551115123125783e-17,0.7207792207792209
native_l2,FractionCSP3,7,positive,1,45.0,150.0,0.13333333333333333,0.030303030303030304,0.10303030303030303,0.5714285714285715,0.8571428571428572
native_l2,FractionCSP3,7,positive,2,60.0,135.0,0.10416666666666667,0.030303030303030304,0.07386363636363637,0.634920634920635,0.8571428571428572
native_l2,FractionCSP3,7,positive,3,30.0,120.0,0.07142857142857142,0.030303030303030304,0.04112554112554112,0.6904761904761906,0.8571428571428572
native_l2,FractionCSP3,7,positive,4,75.0,105.0,0.046511627906976744,0.030303030303030304,0.01620859760394644,0.7321428571428572,0.8571428571428572
native_l2,FractionCSP3,7,positive,5,135.0,90.0,0.04081632653061224,0.030303030303030304,0.010513296227581938,0.7738095238095238,0.8571428571428572
native_l2,FractionCSP3,7,positive,6,120.0,75.0,0.03076923076923077,0.030303030303030304,0.00046620046620046707,0.8186813186813188,0.8571428571428572
native_l2,FractionCSP3,7,positive,7,90.0,60.0,0.02631578947368421,0.030303030303030304,0.003987240829346095,0.8571428571428572,0.8571428571428572
native_l2,FractionCSP3,7,positive,8,105.0,45.0,0.022727272727272728,0.030303030303030304,0.007575757575757576,0.5238095238095238,0.8571428571428572
native_l2,FractionCSP3,7,positive,9,150.0,30.0,0.01818181818181818,0.030303030303030304,0.012121212121212123,0.8503401360544218,0.8571428571428572
native_l2,FractionCSP3,8,negative,0,-15.0,-15.0,1.0,0.06493506493506493,0.935064935064935,-0.0,0.5166666666666666
native_l2,FractionCSP3,8,negative,1,-30.0,-150.0,0.4838709677419355,0.0,0.4838709677419355,0.09523809523809523,0.6666666666666666
native_l2,FractionCSP3,8,negative,2,-45.0,-135.0,0.10843373493975904,0.0,0.10843373493975904,0.30666666666666664,0.6666666666666666
native_l2,FractionCSP3,8,negative,3,-60.0,-120.0,0.08888888888888889,0.0,0.08888888888888889,0.40579710144927533,0.6666666666666666
native_l2,FractionCSP3,8,negative,4,-105.0,-105.0,0.07777777777777778,0.0,0.07777777777777778,0.5797101449275361,0.6666666666666666
native_l2,FractionCSP3,8,negative,5,-120.0,-90.0,0.07446808510638298,0.0,0.07446808510638298,0.5303030303030303,0.6666666666666666
native_l2,FractionCSP3,8,negative,6,-135.0,-75.0,0.07216494845360824,0.0,0.07216494845360824,0.5238095238095237,0.6666666666666666
native_l2,FractionCSP3,8,negative,7,-150.0,-60.0,0.05102040816326531,0.0,0.05102040816326531,0.5714285714285714,0.6666666666666666
native_l2,FractionCSP3,8,negative,8,-90.0,-45.0,0.047619047619047616,0.0,0.047619047619047616,0.5,0.6666666666666666
native_l2,FractionCSP3,8,negative,9,-75.0,-30.0,0.047619047619047616,0.0,0.047619047619047616,0.5,0.6666666666666666
native_l2,FractionCSP3,8,positive,0,15.0,150.0,1.0,0.061224489795918366,0.9387755102040817,0.0,0.33333333333333337
native_l2,FractionCSP3,8,positive,1,30.0,135.0,0.25,0.061224489795918366,0.18877551020408162,0.015151515151515138,0.33333333333333337
native_l2,FractionCSP3,8,positive,2,45.0,120.0,0.19230769230769232,0.061224489795918366,0.13108320251177397,0.19047619047619047,0.33333333333333337
native_l2,FractionCSP3,8,positive,3,135.0,105.0,0.1864406779661017,0.061224489795918366,0.12521618817018332,0.33333333333333337,0.33333333333333337
native_l2,FractionCSP3,8,positive,4,60.0,90.0,0.1780821917808219,0.061224489795918366,0.11685770198490354,0.23809523809523814,0.33333333333333337
