method,scale,property,seed_id,objective,seed_similarity_cutoff,candidate_budget,eligible_valid_changed_candidates,success,best_objective_improvement,selected_alpha,selected_seed_similarity,selected_sa_score_delta
MolecuLA continuous OLS,native_l2,FractionCSP3,20,minimize,0.4,21,2,False,-0.07,15.0,0.5609756097560976,0.1879914170040493
MolecuLA continuous OLS,native_l2,FractionCSP3,20,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,21,maximize,0.0,21,19,True,0.8076923076923077,90.0,0.0891089108910891,4.495181482423934
MolecuLA continuous OLS,native_l2,FractionCSP3,21,maximize,0.2,21,2,True,0.1039886039886039,15.0,0.48,1.035053590589932
MolecuLA continuous OLS,native_l2,FractionCSP3,21,maximize,0.4,21,1,True,0.1039886039886039,15.0,0.48,1.035053590589932
MolecuLA continuous OLS,native_l2,FractionCSP3,21,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,21,minimize,0.0,21,19,True,0.1538461538461538,-60.0,0.058252427184466,4.329310785433065
MolecuLA continuous OLS,native_l2,FractionCSP3,21,minimize,0.2,21,2,True,0.1123076923076922,-30.0,0.2613636363636363,1.0709490716180363
MolecuLA continuous OLS,native_l2,FractionCSP3,21,minimize,0.4,21,1,False,-0.1039886039886039,15.0,0.48,1.035053590589932
MolecuLA continuous OLS,native_l2,FractionCSP3,21,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,22,maximize,0.0,21,18,True,0.6,75.0,0.073170731707317,0.8555651531960295
MolecuLA continuous OLS,native_l2,FractionCSP3,22,maximize,0.2,21,2,True,0.2875,30.0,0.2098765432098765,1.4480596586905357
MolecuLA continuous OLS,native_l2,FractionCSP3,22,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,22,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,22,minimize,0.0,21,18,True,0.4,-75.0,0.0357142857142857,1.8937626575423157
MolecuLA continuous OLS,native_l2,FractionCSP3,22,minimize,0.2,21,2,True,0.1142857142857143,-30.0,0.2235294117647059,0.2040928840337619
MolecuLA continuous OLS,native_l2,FractionCSP3,22,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,22,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,23,maximize,0.0,21,18,True,0.5,60.0,0.0454545454545454,1.079557844294749
MolecuLA continuous OLS,native_l2,FractionCSP3,23,maximize,0.2,21,1,True,0.2142857142857143,30.0,0.38,2.072980307968022
MolecuLA continuous OLS,native_l2,FractionCSP3,23,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,23,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,23,minimize,0.0,21,18,True,0.5,-150.0,0.0422535211267605,3.252267425209485
MolecuLA continuous OLS,native_l2,FractionCSP3,23,minimize,0.2,21,1,False,-0.2142857142857143,30.0,0.38,2.072980307968022
MolecuLA continuous OLS,native_l2,FractionCSP3,23,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,23,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,24,maximize,0.0,21,17,True,0.8666666666666667,135.0,0.0425531914893617,3.706014877135688
MolecuLA continuous OLS,native_l2,FractionCSP3,24,maximize,0.2,21,1,True,0.2,30.0,0.3653846153846153,1.603616193091305
MolecuLA continuous OLS,native_l2,FractionCSP3,24,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,24,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,24,minimize,0.0,21,17,True,0.1333333333333333,-150.0,0.0338983050847457,4.22714537537235
MolecuLA continuous OLS,native_l2,FractionCSP3,24,minimize,0.2,21,1,False,-0.2,30.0,0.3653846153846153,1.603616193091305
MolecuLA continuous OLS,native_l2,FractionCSP3,24,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,24,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,25,maximize,0.0,21,19,True,0.64,75.0,0.0693069306930693,2.747219133296877
MolecuLA continuous OLS,native_l2,FractionCSP3,25,maximize,0.2,21,3,True,0.08,30.0,0.6811594202898551,0.9967274741023822
MolecuLA continuous OLS,native_l2,FractionCSP3,25,maximize,0.4,21,2,True,0.08,30.0,0.6811594202898551,0.9967274741023822
MolecuLA continuous OLS,native_l2,FractionCSP3,25,maximize,0.6,21,1,True,0.08,30.0,0.6811594202898551,0.9967274741023822
MolecuLA continuous OLS,native_l2,FractionCSP3,25,minimize,0.0,21,19,True,0.36,-150.0,0.0462962962962962,2.9199402869475017
MolecuLA continuous OLS,native_l2,FractionCSP3,25,minimize,0.2,21,3,True,0.36,-30.0,0.234375,-1.1418626944078962
MolecuLA continuous OLS,native_l2,FractionCSP3,25,minimize,0.4,21,2,False,-0.0246153846153846,15.0,0.4,0.2169182385990984
MolecuLA continuous OLS,native_l2,FractionCSP3,25,minimize,0.6,21,1,False,-0.08,30.0,0.6811594202898551,0.9967274741023822
MolecuLA continuous OLS,native_l2,FractionCSP3,26,maximize,0.0,21,18,True,0.7857142857142858,120.0,0.0404040404040404,2.979576815086705
MolecuLA continuous OLS,native_l2,FractionCSP3,26,maximize,0.2,21,2,False,-0.0324675324675323,-30.0,0.3275862068965517,0.3942021105263258
MolecuLA continuous OLS,native_l2,FractionCSP3,26,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,26,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,26,minimize,0.0,21,18,True,0.2142857142857142,-150.0,0.0441176470588235,3.3440430070311864
MolecuLA continuous OLS,native_l2,FractionCSP3,26,minimize,0.2,21,2,True,0.03781512605042,-45.0,0.2571428571428571,1.581859933024722
MolecuLA continuous OLS,native_l2,FractionCSP3,26,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,26,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,27,maximize,0.0,21,19,True,0.7272727272727273,75.0,0.0746268656716417,1.7625126962437223
MolecuLA continuous OLS,native_l2,FractionCSP3,27,maximize,0.2,21,3,True,0.2727272727272727,30.0,0.2083333333333333,1.937339402943808
MolecuLA continuous OLS,native_l2,FractionCSP3,27,maximize,0.4,21,1,False,-0.0822510822510822,-30.0,0.7073170731707317,-0.1054920910075853
MolecuLA continuous OLS,native_l2,FractionCSP3,27,maximize,0.6,21,1,False,-0.0822510822510822,-30.0,0.7073170731707317,-0.1054920910075853
MolecuLA continuous OLS,native_l2,FractionCSP3,27,minimize,0.0,21,19,True,0.2727272727272727,-150.0,0.0895522388059701,3.855495580047545
MolecuLA continuous OLS,native_l2,FractionCSP3,27,minimize,0.2,21,3,True,0.0822510822510822,-30.0,0.7073170731707317,-0.1054920910075853
