method,property,seed_id,seed_row_index,spearman_alpha_property,linear_slope_property_per_alpha,seed_moves_expected_direction,expected_sign_fraction_valid_candidates,valid_fraction,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_retention_fraction,best_increase,best_decrease
ChemSpacE extreme-SVM,TPSA,15,418215,0.9272259581556007,8.94661441584157,True,0.97,1.0,0.98,0.98,0.0212765957446808,0.2222222222222222,1852.4399999999964,28.16
ChemSpacE extreme-SVM,TPSA,16,397466,0.8408080817970575,8.172401267326727,True,0.98,1.0,0.98,0.98,0.0272121436504998,0.2222222222222222,1770.2999999999968,76.7
ChemSpacE extreme-SVM,TPSA,17,602221,0.8601301788299466,8.828352811881174,True,0.95,1.0,0.99,0.99,0.0285714285714285,0.14285714285714285,1749.0999999999965,128.7
ChemSpacE extreme-SVM,TPSA,18,160039,0.8798883524784258,8.87698439603959,True,0.97,1.0,0.98,0.98,0.0181818181818181,0.25,1765.4899999999966,115.11
ChemSpacE extreme-SVM,TPSA,19,667072,0.8509475815713305,8.512439702970287,True,0.97,1.0,0.98,0.98,0.0226169179657551,0.2,1835.0599999999963,42.74
ChemSpacE extreme-SVM,TPSA,20,440554,0.8125459486896689,7.642740415841585,True,0.99,1.0,0.99,0.99,0.0441176470588235,0.1,1676.059999999998,95.34
ChemSpacE extreme-SVM,TPSA,21,653586,0.8441239556221916,6.98671227722773,True,0.98,1.0,0.99,0.99,0.0526315789473684,0.09090909090909091,1635.549999999999,48.67
ChemSpacE extreme-SVM,TPSA,22,131256,0.823299014376265,7.464115841584162,True,0.96,1.0,0.98,0.98,0.0363636363636363,0.18181818181818182,1662.709999999999,38.69
ChemSpacE extreme-SVM,TPSA,23,553961,0.8299136063847729,7.788534712871286,True,0.98,1.0,0.98,0.98,0.0526315789473684,0.2222222222222222,1724.0399999999977,55.760000000000005
ChemSpacE extreme-SVM,TPSA,24,705329,0.8649517623032018,8.090811405940588,True,0.96,1.0,0.98,0.98,0.05,0.25,1790.7299999999975,17.07
ChemSpacE extreme-SVM,TPSA,25,709496,0.8227594661542154,7.033166198019811,True,0.98,1.0,0.98,0.98,0.0327868852459016,0.2,1530.5800000000006,66.84
ChemSpacE extreme-SVM,TPSA,26,348626,0.8669837726987766,8.473179504950483,True,0.98,1.0,0.98,0.98,0.029631255487269498,0.4,1820.5499999999963,60.05
ChemSpacE extreme-SVM,TPSA,27,73191,0.8542120036971793,8.283719108910883,True,0.98,1.0,0.98,0.98,0.0232558139534883,0.375,1766.3999999999974,52.6
