property,alpha,latent_displacement,paired_seeds,raw_valid_fraction,chemspace_valid_fraction,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_seed_similarity,chemspace_median_seed_similarity
FractionCSP3,-50.0,50.0,50,1.0,1.0,0.12976190476190474,0.2857142857142857,0.133399209486166,0.11278964107223989,0.0
FractionCSP3,-46.96969696969697,46.96969696969697,50,1.0,1.0,0.12000442086648982,0.2857142857142857,0.1633333333333333,0.11378020713463752,0.0
FractionCSP3,-43.93939393939394,43.93939393939394,50,1.0,1.0,0.09908963585434172,0.2857142857142857,0.18614718614718614,0.12097560975609756,0.0
FractionCSP3,-40.90909090909091,40.90909090909091,50,1.0,1.0,0.06994047619047619,0.2857142857142857,0.18181818181818182,0.13434486419534636,0.0
FractionCSP3,-37.878787878787875,37.878787878787875,50,1.0,1.0,0.07620200576856923,0.2857142857142857,0.19230769230769232,0.13805693069306932,0.0
FractionCSP3,-34.848484848484844,34.848484848484844,50,1.0,1.0,0.0797658862876254,0.2857142857142857,0.20526315789473684,0.1675438596491228,0.0
FractionCSP3,-31.818181818181813,31.818181818181813,50,1.0,1.0,0.0840393905611297,0.2857142857142857,0.21980676328502413,0.23759143155694878,0.0
FractionCSP3,-28.787878787878782,28.787878787878782,50,1.0,1.0,0.025324675324675278,0.2857142857142857,0.2403846153846154,0.3187307601231352,0.0057471264367816
FractionCSP3,-25.757575757575765,25.757575757575765,50,1.0,1.0,0.004901960784313722,0.2819829424307036,0.23076923076923078,0.47754010695187166,0.0157490079365079
FractionCSP3,-22.727272727272734,22.727272727272734,50,1.0,1.0,-0.0,0.2727272727272727,0.2702097902097902,1.0,0.0344827586206896
FractionCSP3,-19.69696969696969,19.69696969696969,50,1.0,1.0,-0.0,0.2502747252747253,0.2475490196078431,1.0,0.0386482449589245
FractionCSP3,-16.666666666666657,16.666666666666657,50,1.0,1.0,-0.0,0.21587301587301586,0.21587301587301586,1.0,0.0547452547452547
FractionCSP3,-13.636363636363626,13.636363636363626,50,1.0,1.0,-0.0,0.21032763532763532,0.21421404682274245,1.0,0.055064410204597056
FractionCSP3,-10.606060606060595,10.606060606060595,50,1.0,1.0,-0.0,0.1671030731133032,0.16710307311330325,1.0,0.07088534940450565
FractionCSP3,-7.575757575757564,7.575757575757564,50,1.0,1.0,-0.0,0.14112554112554104,0.14112554112554104,1.0,0.09581181870338495
FractionCSP3,-4.545454545454561,4.545454545454561,50,1.0,1.0,-0.0,0.0944444444444444,0.0944444444444444,1.0,0.16635944700460825
FractionCSP3,-1.5151515151515298,1.5151515151515298,50,1.0,1.0,-0.0,-0.0,0.0,1.0,1.0
FractionCSP3,1.5151515151515014,1.5151515151515014,50,1.0,1.0,0.0,0.0,0.0,1.0,1.0
FractionCSP3,4.5454545454545325,4.5454545454545325,50,1.0,1.0,0.0,0.29667795972143796,0.2891022021456804,1.0,0.16035530621785876
FractionCSP3,7.575757575757564,7.575757575757564,50,1.0,1.0,0.0,0.4922360248447205,0.4833333333333333,1.0,0.1041666666666666
FractionCSP3,10.606060606060595,10.606060606060595,50,1.0,1.0,0.0,0.6083574320416426,0.6083574320416426,1.0,0.08166666666666665
FractionCSP3,13.636363636363626,13.636363636363626,50,1.0,1.0,0.0,0.6085534417792482,0.5915652447910512,1.0,0.06076923076923075
FractionCSP3,16.666666666666657,16.666666666666657,50,1.0,1.0,2.7755575615628914e-17,0.6511965811965812,0.6230532212885154,1.0,0.0457157784743991
FractionCSP3,19.69696969696969,19.69696969696969,50,1.0,1.0,5.551115123125783e-17,0.7142857142857143,0.6861538461538461,1.0,0.03509852216748765
FractionCSP3,22.72727272727272,22.72727272727272,50,1.0,1.0,0.039230769230769263,0.7142857142857143,0.6583333333333334,0.569220199244246,0.0325224748810153
