method,property,alpha,latent_displacement,requested_candidates,valid_count,valid_fraction,changed_from_seed_count,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_property,median_property_delta,median_expected_signed_improvement,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_evaluable_count,scaffold_retention_fraction
MolecuLA raw OLS (seed-excluded),FractionCSP3,22.72727272727272,22.72727272727272,50,50,1.0,30,0.6,0.6,0.3416666666666667,0.039230769230769263,0.039230769230769263,0.78,0.569220199244246,0.35416666666666663,1.0,50,0.42
MolecuLA raw OLS (seed-excluded),FractionCSP3,25.75757575757575,25.75757575757575,50,50,1.0,39,0.78,0.78,0.4258823529411765,0.07846153846153847,0.07846153846153847,0.86,0.3333333333333333,0.22238685344827586,0.6739130434782609,49,0.24489795918367346
MolecuLA raw OLS (seed-excluded),FractionCSP3,28.787878787878782,28.787878787878782,50,50,1.0,46,0.92,0.92,0.5,0.17783216783216788,0.17783216783216788,0.92,0.23430107526881722,0.16354487000279563,0.42976190476190473,47,0.10638297872340426
MolecuLA raw OLS (seed-excluded),FractionCSP3,31.818181818181813,31.818181818181813,50,50,1.0,49,0.98,0.98,0.5916666666666667,0.2576086956521739,0.2576086956521739,0.96,0.17994310099573257,0.12580128205128205,0.24170918367346939,45,0.022222222222222223
MolecuLA raw OLS (seed-excluded),FractionCSP3,34.848484848484844,34.848484848484844,50,50,1.0,49,0.98,0.98,0.6172161172161172,0.30119047619047623,0.30119047619047623,0.98,0.14854215918045705,0.1111111111111111,0.2127110694183865,43,0.023255813953488372
MolecuLA raw OLS (seed-excluded),FractionCSP3,37.878787878787875,37.878787878787875,50,50,1.0,50,1.0,1.0,0.6568627450980392,0.35,0.35,1.0,0.153125,0.11561866125760649,0.191699123661149,46,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,40.90909090909091,40.90909090909091,50,50,1.0,50,1.0,1.0,0.6899313501144164,0.37957875457875456,0.37957875457875456,1.0,0.14285714285714285,0.09435760579489134,0.17280766396462785,46,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,43.93939393939394,43.93939393939394,50,50,1.0,50,1.0,1.0,0.721111111111111,0.4295634920634921,0.4295634920634921,1.0,0.11436781609195402,0.09357696566998892,0.1514240506329114,39,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,46.96969696969697,46.96969696969697,50,50,1.0,50,1.0,1.0,0.7350877192982456,0.4289529914529915,0.4289529914529915,1.0,0.1084967320261438,0.0920747609388583,0.13313253012048193,39,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,50.0,50.0,50,50,1.0,50,1.0,1.0,0.7928571428571429,0.45375457875457875,0.45375457875457875,1.0,0.09846650524616626,0.07472014925373134,0.11977321048901488,40,0.0
