property,direction_type,direction_target,alpha,response,decode_count,valid_count,validity,median_value,q25_value,q75_value,median_change_from_seed,q25_change_from_seed,q75_change_from_seed,expected_sign_fraction
BertzCT,raw_property,BertzCT,-34.848484848484844,diagnostic_residual,50,50,1.0,-49.99817583373995,-121.8791895112274,11.644247983657296,-62.00987141369387,-137.2465122141839,51.45843858773534,0.62
BertzCT,raw_property,BertzCT,-31.818181818181813,raw_property,50,50,1.0,288.0258703220299,172.2466300589414,457.40951041460283,-374.38095854941173,-517.9622918918514,-227.24223942857128,0.98
BertzCT,raw_property,BertzCT,-31.818181818181813,diagnostic_residual,50,50,1.0,-56.33134214033532,-114.0794139050281,29.618448557756444,-42.80489578140214,-142.75336770215196,28.853306628968326,0.7
BertzCT,raw_property,BertzCT,-28.787878787878785,raw_property,50,50,1.0,354.19126360176665,238.88648136574557,552.1598643934514,-304.80503306954455,-462.75746870730734,-173.74314793782517,0.96
BertzCT,raw_property,BertzCT,-28.787878787878785,diagnostic_residual,50,50,1.0,-66.42018977409448,-149.43390537915923,29.65927160398257,-47.02105553386315,-133.118146230037,-0.6208364155728816,0.76
BertzCT,raw_property,BertzCT,-25.757575757575765,raw_property,50,50,1.0,374.6376016865433,260.5288955169006,569.2320875470787,-252.50776717574308,-406.64711582127256,-162.22312502643814,0.9
BertzCT,raw_property,BertzCT,-25.757575757575765,diagnostic_residual,50,50,1.0,-45.05300006949146,-134.22571246638313,21.019517029786726,-35.95934363076452,-133.86005532273393,-4.440892098500626e-16,0.74
BertzCT,raw_property,BertzCT,-22.727272727272734,raw_property,50,50,1.0,462.0431222386995,319.47294747969397,673.8952736852568,-167.78743596870356,-370.5029770063539,-69.28778532405725,0.78
BertzCT,raw_property,BertzCT,-22.727272727272734,diagnostic_residual,50,50,1.0,-34.2415223785768,-126.14374942306314,21.961629836702343,-12.997205440221762,-111.55505596507753,0.0,0.66
BertzCT,raw_property,BertzCT,-19.69696969696969,raw_property,50,50,1.0,591.2599538718193,397.7690008864984,761.8564320239624,-95.1732515037022,-155.65961164622732,0.0,0.66
