method,scale,property,seed_id,confound,spearman_alpha_confound,spearman_abs_alpha_confound,slope_confound_per_alpha,slope_confound_per_abs_alpha
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,14,token_entropy,0.0711476174659024,-0.8495172921954921,0.0009519723232786437,-0.07439023158274759
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,15,selfies_len_tokens,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,15,branch_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,15,ring_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,15,token_entropy,0.8420753583206845,0.3647149450483,0.0323474559845498,0.024949908877893074
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,16,selfies_len_tokens,-0.8915184769847424,-0.3816708950480187,-1.1428571428571395,-1.0270270270270847
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,16,branch_token_count,-0.8581163303210331,-0.2624579775516101,-0.7012987012987005,-0.35380835380836057
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,16,ring_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,16,token_entropy,-0.8915184769847424,-0.3816708950480187,-0.025031605985025396,-0.01841303386680716
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,17,selfies_len_tokens,0.07207499701564472,0.1442906053416173,0.4415584415584462,0.6732186732186213
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,17,branch_token_count,-0.6847124716486248,-0.5534304139089664,-0.688311688311688,-1.1130221130221256
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,17,ring_token_count,0.6695387880663839,0.5230534443633628,0.6363636363636368,0.9066339066339041
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,17,token_entropy,0.8705412185927388,0.02916070200159354,0.10374770282712346,0.02921088220253542
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,18,selfies_len_tokens,-0.6031093241231685,-0.010963031984464586,-0.5714285714285684,0.5847665847665466
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,18,branch_token_count,0.3692744729379982,0.35115294811993913,0.12987012987013116,0.24570024570023258
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,18,ring_token_count,0.08036995796652298,0.4290578930814803,0.07792207792207845,0.7714987714987652
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,18,token_entropy,-0.5731125221887426,0.5503598235237633,-0.04252800345306671,0.047827485324048666
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,19,selfies_len_tokens,0.3207514512928874,0.7409176817032427,1.623376623376626,7.299754299754267
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,19,branch_token_count,0.3207514512928874,0.7409176817032427,0.5194805194805199,1.9803439803439749
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,19,ring_token_count,0.1973855084879307,0.7631452121543401,0.0649350649350651,1.3587223587223567
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,19,token_entropy,0.1973855084879307,0.7631452121543401,0.002721723365972186,0.1408428949262455
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,20,selfies_len_tokens,-0.046480299032536865,-0.39041079098810266,-0.29870129870129003,-0.9017199017199434
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,20,branch_token_count,-0.7753790885309204,-0.4373089373987881,-0.7662337662337652,-0.8034398034398109
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,20,ring_token_count,0.3218740883867723,-0.29328278629868826,0.4935064935064951,-0.8108108108108211
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,20,token_entropy,-0.9753454266559624,-0.09829609708718993,-0.1241712754116473,-0.14243776599204136
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,21,selfies_len_tokens,-0.6848614826837774,-0.3463576879546455,-0.8441558441558391,-0.8722358722359237
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,21,branch_token_count,0.45041724626488117,0.37571383865705055,0.35064935064935043,0.5331695331695209
