direction_name,direction_kind,alpha,valid_count,median_clogp,q25_clogp,q75_clogp,median_fixed_graph_size_residual,q25_fixed_graph_size_residual,q75_fixed_graph_size_residual,median_fixed_graph_size_residual_change_from_seed
raw::cLogP,raw_property,-110.6060606060606,50,-0.6986600000000001,-1.0741049999999999,-0.4680250000000001,-0.3581629396186526,-0.8935309135570232,-0.16532426498412445,-0.622371882356964
raw::cLogP,raw_property,-107.57575757575758,50,-0.6931499999999999,-1.049905,-0.42497250000000014,-0.3581629396186526,-0.9456066672970184,-0.16532426498412445,-0.5839250561152173
raw::cLogP,raw_property,-104.54545454545456,50,-0.79027,-1.301405,-0.430275,-0.4425326325455886,-0.9779608027880432,-0.1509277558255308,-0.58446527415931
raw::cLogP,raw_property,-101.51515151515152,50,-0.79027,-1.265105,-0.3915,-0.36517637697628247,-0.9623973668513413,-0.16636741267509683,-0.5632851300609447
raw::cLogP,raw_property,-98.48484848484848,50,-0.8365000000000001,-1.2666875,-0.394875,-0.4605716853902638,-1.0102197891045126,-0.17326963228497858,-0.5632851300609447
raw::cLogP,raw_property,-95.45454545454544,50,-0.8365000000000001,-1.454345,-0.394875,-0.5699498926221873,-1.0570000100539834,-0.16636741267509683,-0.6072469911869496
raw::cLogP,raw_property,-92.42424242424242,50,-0.8599,-1.3942249999999998,-0.4193249999999999,-0.6032136155313851,-1.028153831873182,-0.2089133026754081,-0.5899803090435682
raw::cLogP,raw_property,-89.39393939393939,50,-0.8966000000000001,-1.4183749999999997,-0.3370499999999999,-0.5879077068477884,-1.2019361313552346,-0.2089133026754081,-0.6871421161504974
raw::cLogP,raw_property,-86.36363636363637,50,-0.7381500000000002,-1.2560999999999993,-0.31762499999999994,-0.7639119520303406,-1.0991835759484836,-0.34099243335097873,-0.6770282410360731
raw::cLogP,raw_property,-83.33333333333333,50,-0.6847500000000001,-1.3014499999999998,-0.2911749999999999,-0.7946985601055225,-1.1958613906474194,-0.3213102073872781,-0.8862218374565506
raw::cLogP,raw_property,-80.3030303030303,50,-0.9415499999999998,-1.2733249999999996,-0.2919775,-0.9114806987423136,-1.174160552659759,-0.3503823388948109,-0.9481921651336745
raw::cLogP,raw_property,-77.27272727272728,50,-0.9398999999999995,-1.2481274999999996,-0.20107249999999996,-0.8630095154910207,-1.3945159996001788,-0.3498750175933903,-0.985798462701306
raw::cLogP,raw_property,-74.24242424242425,50,-0.8684500000000002,-1.2481274999999996,-0.09825500000000001,-0.875913141265687,-1.3286836552280992,-0.2454560284904395,-0.9481921651336745
raw::cLogP,raw_property,-71.21212121212122,50,-0.6727500000000001,-1.1997075000000001,0.34002499999999997,-0.768275969341634,-1.1525407586538035,-0.2124169678717697,-0.8495770970008378
raw::cLogP,raw_property,-68.18181818181819,50,-0.5072000000000001,-1.0455750000000001,0.3454,-0.7873817063265693,-1.3292738646173519,-0.1977140115062694,-0.9089499865822909
raw::cLogP,raw_property,-65.15151515151516,50,-0.40084999999999993,-0.9289499999999999,0.5808949999999999,-0.7867967017853803,-1.389428537520084,-0.23524803433600106,-0.9080573913123693
raw::cLogP,raw_property,-62.121212121212125,50,-0.43010000000000026,-0.8554999999999999,0.6225749999999997,-0.8439912293543852,-1.3794392968973863,-0.3781745555153993,-0.8073450536665971
